Date,Pop Load Slip #,Count,Sample Loads,TM9/Ticket#,Owner,Disposition/FMA#,Working Circle,Block #,Logging Co.,Haule By,Truck License Plate #,Truck #,Truck Axle,Gross Weight,Tare Weight,Net Weight,Received # of Pieces from Load Slip,Date Barkie Load inspection Report - Completed,Total Logs Inspected,Total Logs to Peeler,Logs Rejected
2016-06-22,626,37,,S960956,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,56390,23310,33080,55,2016-07-01,54,49,5
2016-06-22,630,29,SAMPLE,U004322978,RL HARRIS CONTRACTING,PRIVATE,,NE8-54-13-W5,,RL HARRIS,H86023,E664,7,43800,32000,11800,,,,,0
2016-06-22,630,30,,U004322979,RL HARRIS CONTRACTING,PRIVATE,,NE8-54-13-W5,,RL HARRIS,H86023,E664,7,32000,19930,12070,,,,,0
2016-06-23,626,38,,S960957,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,54430,23270,31160,50,2016-07-05,50,43,7
2016-06-23,626,39,,S975983,WEST FRASER HWP,FMA8800025,EMB,5180490295,Lydell,TIM YOUNG,14291P,BWP 83,7,46150,25920,20230,34,2016-06-27,34,32,2
2016-06-24,626,40,,U004438401,WEYERHAEUSER GP,FMA6900016,GPC,6080633158,,MURTRON,BPH4514,,7,53610,20380,33230,55,2016-06-28,55,54,1
2016-06-24,626,41,,U004438402,WEYERHAEUSER GP,FMA6900016,GPC,6080633158,,MURTRON,BPH4512,,7,54060,21580,32480,46,2016-06-28,46,38,8
2016-06-27,626,42,,U004313491,WEYERHAEUSER DV,FMA0900046,DV1,5130482121,Lydell,TIM YOUNG,14291P,BWP 83,7,56160,25730,30430,36,2016-06-29,36,31,5
2016-06-27,626,43,,U004313492,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,56590,25580,31010,33,2016-06-29,33,33,0
2016-06-27,626,44,,S960958,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell ,RL HARRIS,C18542,D661,7,32180,23200,8980,17,2016-06-29,17,16,1
2016-06-27,630,31,,U004312887,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L59404,E605,7,61920,26460,35460,,,,,0
2016-06-27,630,32,,U004313308,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,60300,26810,33490,,,,,0
2016-06-28,626,45,,Q214666,WEST FRASER EDSON,FMA9700032,EFP,5160481569,Lydell,TIM YOUNG,14291P,BWP 83,7,55720,25750,29970,58,2016-06-30,58,49,9
2016-06-28,626,46,,S975984,WEST FRASER HWP,FMA8800025,EMB,5180491638,Zell,TIM YOUNG,14291P,BWP 83,7,54890,25630,29260,47,2016-06-29,47,41,6
2016-06-29,626,47,,U004313493,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,55900,25530,30370,33,2016-06-30,33,28,5
2016-06-29,626,48,,U004313494,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,54760,25410,29350,29,2016-07-04,29,28,1
2016-06-29,630,33,,U004312888,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L59404,E605,7,60390,26310,34080,,,,,0
2016-06-30,630,34,,U004313311,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,61670,26430,35240,,,,,0
2016-07-04,626,49,,U004313495,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,55350,25510,29840,29,2016-07-14,32,30,2
2016-07-06,626,50,,U004313496,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,52600,25410,27190,31,2016-07-13,31,30,1
2016-07-06,626,51,,S975985,WEST FRASER HWP,FMA8800025,EMB,5180480868,Promise,TIM YOUNG,14291P,BWP 83,7,55760,25560,30200,55,2016-07-19,55,48,7
2016-07-06,630,35,,U004323776,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42413,,8,59600,21720,37880,,,,,0
2016-07-06,630,36,,U004323777,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42472,,8,61880,22300,39580,,,,,0
